start_day_of_week,start_hour_label,total_trips,top_start_station,loop_trip_rate,avg_trip_duration_min,avg_trip_duration_text,avg_trip_distance_miles,avg_speed_mph,top_end_station
Sunday,7 PM,67661,Pier 61 at Chelsea Piers,4.1,15.6,15 minutes 36 seconds,1.29,4.96,10 Ave & W 14 St
Sunday,8 AM,24433,Central Park W & W 97 St,3.0,13.2,13 minutes 12 seconds,1.32,6.0,W 21 St & 6 Ave
Sunday,8 PM,53023,10 Ave & W 14 St,4.0,14.9,14 minutes 54 seconds,1.29,5.19,11 Ave & W 41 St
Sunday,9 AM,39712,Central Park S & 6 Ave,2.7,13.8,13 minutes 48 seconds,1.31,5.7,Pier 61 at Chelsea Piers
Sunday,9 PM,40131,10 Ave & W 14 St,3.8,14.5,14 minutes 30 seconds,1.32,5.46,11 Ave & W 41 St
Thursday,1 AM,9775,6 Ave & W 33 St,4.0,14.1,14 minutes 6 seconds,1.41,6.0,E 7 St & Ave A
Thursday,1 PM,66755,Central Park S & Grand Army Plaza,2.9,13.7,13 minutes 42 seconds,1.19,5.21,7 Ave & Central Park South
Thursday,10 AM,56856,W 21 St & 6 Ave,2.0,12.4,12 minutes 24 seconds,1.21,5.85,W 21 St & 6 Ave
Thursday,10 PM,49968,8 Ave & W 31 St,2.8,14.3,14 minutes 18 seconds,1.51,6.34,Canal St & Rutgers St
Thursday,11 AM,55190,Central Park S & 6 Ave,2.8,13.2,13 minutes 12 seconds,1.2,5.45,Central Park S & 6 Ave
Thursday,11 PM,33663,8 Ave & W 31 St,2.8,13.7,13 minutes 42 seconds,1.41,6.18,Ave A & E 14 St
Thursday,12 AM,18099,Carmine St & 6 Ave,3.8,14.0,14 minutes 0 seconds,1.42,6.09,Hope St & Union Ave
Thursday,12 PM,60448,W 21 St & 6 Ave,3.1,13.5,13 minutes 30 seconds,1.17,5.2,Broadway & W 58 St
Thursday,2 AM,5863,11 Ave & W 27 St,4.6,14.7,14 minutes 42 seconds,1.38,5.63,2 Ave & E 29 St
Thursday,2 PM,70639,Broadway & W 58 St,3.0,13.9,13 minutes 54 seconds,1.62,6.99,W 41 St & 8 Ave
Thursday,3 AM,3585,10 Ave & W 28 St,4.7,13.5,13 minutes 30 seconds,1.43,6.36,W 41 St & 8 Ave
Thursday,3 PM,77716,Broadway & W 58 St,2.9,14.4,14 minutes 24 seconds,1.28,5.33,8 Ave & W 31 St
Thursday,4 AM,4020,6 Ave & W 33 St,3.3,13.1,13 minutes 6 seconds,1.44,6.6,8 Ave & W 31 St
